,Time,Reward,Deadline,Episode
0,0,-0.5,20,1
1,1,-0.5,19,1
2,2,-0.5,18,1
3,3,-1.5,17,1
4,4,0.5,16,1
5,5,-0.5,15,1
6,6,1.5,14,1
7,7,1.5,13,1
8,8,1.0,12,1
9,9,0.5,11,1
10,10,2.5,10,1
11,11,4.5,9,1
12,12,3.5,8,1
13,13,2.5,7,1
14,14,2.5,6,1
15,15,2.0,5,1
16,16,4.0,4,1
17,17,3.5,3,1
18,18,5.5,2,1
19,19,7.5,1,1
20,20,7.0,0,1
21,0,2.0,20,2
22,1,4.0,19,2
23,2,6.0,18,2
24,3,5.0,17,2
25,4,5.0,16,2
26,5,17.0,15,2
27,0,-1.0,20,3
28,1,-2.0,19,3
29,2,-3.0,18,3
30,3,-4.0,17,3
31,4,-4.5,16,3
32,5,-5.0,15,3
33,6,-3.0,14,3
34,7,-1.0,13,3
35,8,1.0,12,3
36,9,3.0,11,3
37,10,5.0,10,3
38,11,17.0,9,3
39,0,2.0,30,4
40,1,4.0,29,4
41,2,3.5,28,4
42,3,5.5,27,4
43,4,7.5,26,4
44,5,7.0,25,4
45,6,9.0,24,4
46,7,11.0,23,4
47,8,10.5,22,4
48,9,12.5,21,4
49,10,14.5,20,4
50,11,16.5,19,4
51,12,18.5,18,4
52,13,17.5,17,4
53,14,16.5,16,4
54,15,28.5,15,4
55,0,2.0,30,5
56,1,4.0,29,5
57,2,3.0,28,5
58,3,2.0,27,5
59,4,4.0,26,5
60,5,3.0,25,5
61,6,5.0,24,5
62,7,7.0,23,5
63,8,7.0,22,5
64,9,7.0,21,5
65,10,19.0,20,5
66,0,2.0,30,6
67,1,1.0,29,6
68,2,0.0,28,6
69,3,2.0,27,6
70,4,4.0,26,6
71,5,3.0,25,6
72,6,3.0,24,6
73,7,3.0,23,6
74,8,5.0,22,6
75,9,4.5,21,6
76,10,3.5,20,6
77,11,3.0,19,6
78,12,5.0,18,6
79,13,7.0,17,6
80,14,9.0,16,6
81,15,8.5,15,6
82,16,10.5,14,6
83,17,22.5,13,6
84,0,2.0,35,7
85,1,1.5,34,7
86,2,13.5,33,7
87,0,2.0,20,8
88,1,4.0,19,8
89,2,3.5,18,8
90,3,5.5,17,8
